SNO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE,
138,ARIYALUR,Jayankondam,GOVERNMENT HIGH SCHOOL  T CHOZHANKURICHI,GHS T CHOZHANKURICHI\UDAYARPALAYAM TALUK,621804,
139,ARIYALUR,Jayankondam,GOVT HSS AYYAPPANAYAKKANPETTAI,KOVIL STREET AYYAPPANAYAKKANPETTAI,612903,
140,ARIYALUR,Jayankondam,HELAN KELLER SPECIAL SCHOOL,J CROSS ROADKOLLAPURAM PO,612901,
141,ARIYALUR,Jayankondam,INDRA PUBLIC HR SEC SCHOOL  THALUTHALAIMEDU,THALUTHALAIMEDUJAYANKONDAM,612901,
142,ARIYALUR,Jayankondam,JAI HIND INTERNATIOANL VIDHYALAYA SCHOOL  GURUVALAPPARKOVIL,JAI HIND INTERNATIOANL VIDHYALAYA SCHOOL  GURUVALAPPARKOVIL,,
143,ARIYALUR,Jayankondam,JAIHINDH INTERNATIONAL VIDHYALAYAV,,,
144,ARIYALUR,Jayankondam,MEENAAKSHI RAMASAMY HSS THATHANUR,MR KALVI NAGAR THATHANUR PO UDAYARPALAYAM  TK ARIYALUR DT,621804,
145,ARIYALUR,Jayankondam,MEENAAKSHI RAMASAMY MATRIC HSS  THATHANUR,MR KALVI NAGAR THATHANUR POUDAYARPALAYAM  TK ARIYALUR DT,621804,
146,ARIYALUR,Jayankondam,MEENAKSHI RAMASAMY VIDHYALAYA  THANTHANUR,MR KALVI NAGAR THATHANUR POUDAYARPALAYAM  TK ARIYALUR DT,621804,
147,ARIYALUR,Jayankondam,MODERN MATRICULATION HIGHER SECONDARY  SCHOOL JAYANKONDAM,16 BEHIND GHJAYANKONDAM,621802,
148,ARIYALUR,Jayankondam,MRV RAJA HR SEC SCHOOL PAPPAKUDI,MKV KAJ HIGH SCHOOL KALLATHUK KUAD  PAPPAKUDIMRV RAJA HIGH SCHOOL KALLATHUR  ROAD PAPRAKLIDL,612903,
149,ARIYALUR,Jayankondam,N R PUBLIC SCHOOL UDAYARPLAYAM,653/4B-12 Cholangkurichi Road Udayarpalayam Ariyalur -Dt,621804,
,,,,,,
SNO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE,
150,ARIYALUR,Jayankondam,NALLASIRIAR THIRU RAMACHANDRA HIGH SCHOOL,TRICHY MAIN ROADTHATHANUR,621804,
151,ARIYALUR,Jayankondam,NOWFAL MATRICULATION SCHOOL,VELLAITELLATYAK KOVIL STREET UDAYARPALAYAMAIPELLAIYAR KOVIL STREET LIDAVARPAL AYAM,621804,
152,ARIYALUR,Jayankondam,PERIYAR MATRICULATION HSS JAYANKONDAM,KALVIKRAMAMJAYANKONDAM POST,621802,
153,ARIYALUR,Jayankondam,PM PUBLIC SCHOOL,,,
154,ARIYALUR,Jayankondam,PUMS-SOORIYAMANAL,SOORIYAMANAL UDAYARPALAYAM TALUK ARIYALUR DISTRICTARIYALUR DISTRICT,621802,
155,ARIYALUR,Jayankondam,PUMS MEIKKAVALPUTHUR,PANCHAYAT UNION MIDDLE SCHOOL MEIKKAVALPUTTHUR UDAYARPALAYAM (TK) ARIYALUR (DT)-612901P EZHILARASI W/O RATTHINAM NO 17A INDHIRA NAGAR JAYANKONDAM UDAYARPALAYAM (TK) ARIYALUR (DT),621802,
156,ARIYALUR,Jayankondam,PUMS-EDAIKATTU,MAIN ROAD EDAIKATTUULKOTTAI POST,612905,
157,ARIYALUR,Jayankondam,PUMS-EDAIYAR,EAST STREET EDAIYAR UDAIYARPALAYAM(PO) ARIYALUR(DT),621804,
158,ARIYALUR,Jayankondam,PUMS-KACHIPERUMAL,MAIN ROAD KATCHIPERUMALUDAYARPALAYAM TALUK,621804,
159,ARIYALUR,Jayankondam,PUMS-KADARANKONDAN,PACHAYAT UNION MIDDLE SCHOOL KADARANKUNDAN GANGAIKONDACHOLAPURAM VIA UDAYARPALAYAM T K ARIYALUR DTR GEETHA 11C SOUTH VELLALLAR STREET JAYANKONDAM P O UDAYARPALAYAM T K ARIYALUR D T,612901,
160,ARIYALUR,Jayankondam,PUMS-KAZHUVANTHONDI,PANCHAYAT UNION MIDDLE SCHOOL KAZHUVANTHONDI UDAYARPALAYAM TAULK ARIYALUR DISTRICT143C KADAI VEETHI JAYANKONDAM ARIYALUR DISTRICT,621802,
161,ARIYALUR,Jayankondam,PUMS-MELAKUDIYIRUPPU,Middle street Karadikulam(PO) Udaiyarpalayam Tk Ariyalur Dt Pin-621802,621802,
162,ARIYALUR,Jayankondam,PUMS-NARASINGAMPALAYAM,VANGUDI POST UDAYARPALAYAM TALUK ARIYALUR DISTRICT,612903,
,,,,,,
SNO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE,
163,ARIYALUR,Jayankondam,PUMS-PADAINILAI,PUMS PADAINILAI PADAINILAI POST MEENSURUTTI VIA UDAYARPALAYAM TALUK ARIYALUR DISTRICT PINCODE 612903,612903,
164,ARIYALUR,Jayankondam,PUMS-PICHANUR,pichanur-612901121 west street NAGALKUZHI-621806,612901,
